title,comments,files_changed,lines_added,lines_removed,label
Update README.md,2,1,1,0,spam
Update README.md,2,1,1,1,spam
Change the README.md and SECURITY.md,4,2,4,0,spam
Readme File Modified,2,1,1,1,spam
Update README.md,3,1,2,0,spam
Update README.md,3,1,1,0,spam
Update Discord Link,1,2,3,3,not_spam
Fix typo in documentation,3,1,5,2,not_spam
Update README with new features,10,3,50,5,not_spam
Add unnecessary logging statements,1,2,10,0,spam
Refactor code for efficiency,4,5,20,15,not_spam
Change README.md with irrelevant info,2,1,3,0,spam
Update README.md with usage examples,5,2,10,1,not_spam
Correct typo in SECURITY.md,1,1,1,1,not_spam
Add new feature documentation,12,4,60,5,not_spam
Remove unnecessary console logs,2,2,0,15,spam
Optimize database queries,6,3,25,10,not_spam
Improve code readability in helpers,3,3,15,5,not_spam
Update CI configuration files,2,1,5,2,not_spam
Add comments to complex functions,3,2,8,0,spam
Update README.md with contributor info,4,1,5,0,spam
Correct link in documentation,1,1,2,1,not_spam
Update API endpoint documentation,8,2,20,3,not_spam
Simplify logic in user authentication,5,3,18,10,not_spam
Add missing validation checks,7,3,25,5,not_spam
Remove deprecated methods,4,2,0,20,spam
Add error handling to API calls,6,3,30,10,not_spam
Update README.md with license info,2,1,4,0,spam
Reformat code to meet style guidelines,1,4,0,0,spam
Improve performance in search algorithm,10,5,45,25,not_spam
Remove irrelevant comments in code,2,2,0,5,spam
Fix broken image links in README.md,3,1,3,1,not_spam
Update API Documentation,7,2,20,5,not_spam
Improve test coverage for utilities,3,3,15,2,not_spam
Fix typo in README.md,2,1,1,0,spam
Add detailed error messages,5,2,12,3,not_spam
Refactor helper functions,6,3,18,5,not_spam
Remove unused imports,1,2,0,10,spam
Enhance database migration scripts,8,4,30,5,not_spam
Add support for new payment gateway,9,5,55,10,not_spam
Update README.md with installation steps,4,1,5,0,spam
Refactor code structure,7,3,22,8,not_spam
Add comments for complex algorithms,2,2,8,0,spam
Update GitHub Action workflows,3,1,5,2,not_spam
Simplify if-else conditions,4,3,12,4,not_spam
Remove unnecessary whitespace in code,1,2,0,3,spam
